"name","max_players","min_players","min_age","playing_time","year_published","Category-1","Category-2","Category-3","Expansion_available","Mechanic-1","Mechanic-2","Mechanic-3","Publisher-1","Publisher-2","Publisher-3","average_rating"
"Age of Mythology: The Boardgame","4","2","10","180","2003","Ancient","Civilization","Mythology","Yes","Campaign / Battle Card Driven","Dice Rolling","Rock-Paper-Scissors","Beacon Multimedia S.A.","Eagle-Gryphon Games","PS-Games","6.2"
"Age of Napoleon","2","2","12","360","2003","Napoleonic","Wargame",,"No","Area Movement","Campaign / Battle Card Driven","Dice Rolling","Mayfair Games","Phalanx Games B.V.",,"6.9"
"Age of Reason","7","3","12","150","2011","Age of Reason","Civilization","Fighting","No","Area Control / Area Influence","Auction/Bidding","Dice Rolling","Spielworxx","Stronghold Games",,"7.1"
"Age of Renaissance","6","3","12","360","1996","Civilization","Economic","Medieval","No","Area Movement","Auction/Bidding",,"Avalon Hill","Descartes Editeur",,"7.1"
"Age of Scheme: Routes to Riches","6","3","26","60","2008","Adventure","Ancient","Civilization","No","Route/Network Building","Stock Holding",,"Winsome Games",,,"6"
"Age of Thieves","4","2","14","120","2016","Fantasy","Miniatures","Renaissance","Yes","Action / Movement Programming","Action Point Allowance System","Simultaneous Action Selection","Galakta","Heidelberger Spieleverlag",,"7.2"
"Age of War","6","2","14","30","2014","Dice","Medieval",,"Yes","Dice Rolling","Set Collection",,"Arclight","cutia.ro","Edge Entertainment","6.4"
"Agility","2","2","10","45","2016","Animals","Racing",,"No","Card Drafting","Hand Management",,"Two Lanterns Games",,,"7.6"
"Agincourt","2","2","12","120","1978","Medieval","Wargame",,"No","Hex-and-Counter",,,"SPI (Simulations Publications"," Inc.)",,"5.9"
"Agora","4","2","10","60","2013","Ancient",,,"No","Worker Placement",,,"Spielworxx",,,"5.9"
"Agricola: All Creatures Big and Small","2","2","13","30","2012","Animals","Farming",,"Yes","Area Enclosure","Tile Placement","Worker Placement","999 Games","Filosofia Éditions","Giochi Uniti","7.5"
"Ahoy","5","2","5","30","2005","Animals","Children's Game","Memory","No","Memory",,,"Cwali",,,"6"
"Air & Armor","2","2","12","120","1986","Modern Warfare","Wargame",,"No","Action Point Allowance System","Hex-and-Counter","Simulation","West End Games",,,"7.6"
"Air Assault On Crete/Invasion of Malta: 1942","2","2","12","240","1977","Aviation / Flight","Wargame","World War II","Yes","Hex-and-Counter",,,"Avalon Hill",,,"6.3"
"Air Baron","6","2","10","120","1996","Aviation / Flight","Economic","Territory Building","No","Area Control / Area Influence","Chit-Pull System","Dice Rolling","Avalon Hill",,,"6.4"
"Air Bridge to Victory","4","2","12","240","1990","Wargame","World War II",,"No","Hex-and-Counter",,,"GMT Games",,,"6.2"
"Air Cav","2","2","12","90","1985","Aviation / Flight","Modern Warfare","Wargame","No","Hex-and-Counter",,,"West End Games",,,"5.9"
"Air Charter","4","2","10","45","1970","Aviation / Flight","Transportation",,"No","Point to Point Movement","Roll / Spin and Move",,"Waddington's Games"," Inc.",,"5.7"
"Air King","4","2","8","30","2012","Aviation / Flight","Bluffing","Card Game","No","Grid Movement","Hand Management",,"Brain Games","G3",,"5.8"
"Air Show","5","2","14","90","2011","Aviation / Flight",,,"No","Auction/Bidding","Set Collection",,"Gen-X Games",,,"6.6"
"Air War: Modern Tactical Air Combat","4","2","12","120","1977","Aviation / Flight","Modern Warfare","Wargame","Yes","Hex-and-Counter",,,"Hobby Japan","SPI (Simulations Publications"," Inc.)","5.2"
"Airlines","6","2","12","90","1990","Aviation / Flight","Economic",,"No","Route/Network Building","Stock Holding",,"ABACUSSPIELE",,,"6.6"
"Airlines Europe","5","2","10","75","2011","Aviation / Flight","Economic",,"Yes","Card Drafting","Route/Network Building","Set Collection","ABACUSSPIELE","Competo / Marektoy","Filosofia Éditions","7.4"
"Airships","4","2","10","60","2007","Aviation / Flight","Dice","Industry / Manufacturing","No","Card Drafting","Dice Rolling","Set Collection","Queen Games","Corfix","G3","6.4"
"Akrotiri","2","2","13","45","2014","Civilization","Exploration",,"No","Hand Management","Pick-up and Deliver","Tile Placement","Filosofia Éditions","Z-Man Games",,"7.4"
"Al Rashid","5","2","13","100","2012","Arabian","Economic",,"No","Area Control / Area Influence","Set Collection","Variable Phase Order","Yemaia",,,"6.7"
"Aladdin's Dragons","5","2","10","30","2009","Card Game",,,"No","Auction/Bidding","Hand Management",,"R&D Games",,,"6.4"
"Alaska","4","2","12","60","1979","Transportation",,,"No","Pick-up and Deliver","Tile Placement",,"Educa Sallent SA","Grow Jogos e Brinquedos","Otto Maier Verlag","5.8"
"Alba Longa","5","2","12","90","2011","Ancient","City Building","Civilization","Yes","Campaign / Battle Card Driven","Dice Rolling","Worker Placement","HUCH! & friends","Quined Games","Tasty Minstrel Games","6.1"
"Albion","4","2","10","60","2009","Ancient","Territory Building",,"No","Area Control / Area Influence","Worker Placement",,"AMIGO Spiel + Freizeit GmbH","Rio Grande Games",,"6.1"
"Albion: Land of Faerie","2","2","12","120","1981","Fantasy","Wargame",,"No","Hex-and-Counter",,,"SPI (Simulations Publications"," Inc.)",,"6.5"
"Alcatraz: The Scapegoat","4","3","15","60","2011","Bluffing","Mafia","Negotiation","Yes","Action Point Allowance System","Area Movement","Co-operative Play","Cranio Creations","Filosofia Éditions","Gen-X Games","6.4"
"Alcazar","5","2","10","60","2009","City Building","Economic","Medieval","No","Stock Holding",,,"KOSMOS",,,"6.1"
"Alchemicus","4","2","12","60","2009","Card Game","Economic","Industry / Manufacturing","No","Area Movement","Hand Management","Trading","Ace of Brains","Alchemicus.pl","SINONIS","6.2"
"Alchemist","5","2","10","50","2007","Economic","Medieval",,"Yes","Area Control / Area Influence","Set Collection",,"AMIGO Spiel + Freizeit GmbH","Mayfair Games",,"6.3"
"Alchemists","4","2","13","120","2014","Deduction","Fantasy",,"Yes","Action Point Allowance System","Card Drafting","Hand Management","Arclight","Cranio Creations","Czech Games Edition","7.8"
"Alchemy!","8","2","13","45","2014","Card Game","Fantasy","Party Game","Yes","Pattern Building","Take That",,"Aviary Games",,,"6.1"
"Alea Iacta Est","5","2","9","60","2009","Ancient","Dice",,"No","Area Control / Area Influence","Dice Rolling","Set Collection","alea","Ravensburger Spieleverlag GmbH","Rio Grande Games","6.7"
"Alexander the Great","5","2","10","75","2005","Ancient","City Building",,"No","Area Control / Area Influence",,,"Mayfair Games","Phalanx Games B.V.",,"6.1"
"Alfapet","4","2","10","60","1994","Word Game",,,"No","Hand Management","Tile Placement",,"Alga","Damm / Egmont",,"5.6"
"Alhambra","6","2","8","60","2003","Arabian","City Building","Medieval","Yes","Card Drafting","Hand Management","Set Collection","Queen Games","Asterion Press","Corfix","7"
"Alhambra: Big Box","6","2","8","60","2009","City Building",,,"Yes","Card Drafting","Hand Management","Pattern Building","Queen Games",,,"7.6"
"Alhambra: Family Box","6","2","8","45","2011","City Building",,,"Yes","Card Drafting","Hand Management","Pattern Building","Queen Games",,,"7.4"
"Alhambra: The Card Game","6","3","10","45","1992","Arabian","Card Game","City Building","No","Area Control / Area Influence","Card Drafting","Hand Management","Queen Games","db-Spiele",,"6.4"
"Alhambra: The Dice Game","6","2","8","60","2006","Arabian","Dice",,"No","Dice Rolling","Set Collection",,"Queen Games",,,"6.2"
"Ali Baba","4","2","5","30","2002","Arabian","Children's Game","Memory","No","Memory","Press Your Luck",,"Ravensburger Spieleverlag GmbH",,,"5.1"
"Alias","12","4","7","60","1995","Party Game","Racing","Trivia","Yes","Acting","Partnerships","Point to Point Movement","Broadway Toys LTD","Nelospelit","Tactic","5.8"
"Alibi","10","3","10","45","1993","Card Game","Deduction","Murder/Mystery","No","Set Collection","Trading",,"Mayfair Games",,,"5.4"
"Alien Frontiers","4","2","13","90","2010","Dice","Science Fiction",,"Yes","Area Control / Area Influence","Card Drafting","Dice Rolling","Clever Mojo Games","Game Salute","LocWorks","7.5"
"Alien Menace","2","2","12","30","2011","Action / Dexterity","Card Game","Science Fiction","No","Auction/Bidding","Hand Management","Modular Board","Hazgaard Editions",,,"6.5"
"Alienation","4","2","8","30","2016","Card Game","Science Fiction",,"No","Card Drafting","Take That","Tile Placement","(Self-Published)",,,"7.8"
"Aliens vs. Predator","3","2","12","45","1997","Card Game","Collectible Components","Fighting","Yes","Dice Rolling","Modular Board","Secret Unit Deployment","Harper Prism","Precedence Publishing",,"6"
"Aliens: This Time It's War","2","2","18","45","2010","Card Game","Fighting","Horror","No","Hand Management",,,"(Self-Published)",,,"7.6"
"All Wound Up","4","2","8","60","2004","Horror","Miniatures","Racing","No","Card Drafting","Point to Point Movement",,"Twilight Creations"," Inc.",,"5"
"Allegiance: A Realm Divided","4","2","10","60","2015","Fantasy",,,"No","Action Point Allowance System","Hand Management","Variable Player Powers","Underground Games Inc. (I)",,,"8.2"
"Alliances","4","2","8","45","2013","Card Game",,,"Yes","Area Control / Area Influence","Auction/Bidding","Hand Management","Golden Egg Games",,,"4.7"
"Aloha","5","2","10","45","2005","Territory Building",,,"No","Press Your Luck","Tile Placement",,"Cwali",,,"5.5"
"Alpha Blitz","6","2","10","30","1998","Card Game","Word Game",,"No","Simultaneous Action Selection",,,"Wizards of the Coast",,,"5.1"
"Alpha Omega","3","2","12","120","1977","Science Fiction","Wargame",,"No","Action / Movement Programming","Action Point Allowance System","Hex-and-Counter","Avalon Hill","Battleline",,"5.2"
"Altamira","5","3","12","75","2007","Animals","Prehistoric",,"No","Area Movement","Set Collection",,"Zoch Verlag",,,"5.5"
"Amateurs to Arms!","2","2","12","150","2012","Napoleonic","Wargame",,"No","Area Movement","Campaign / Battle Card Driven","Secret Unit Deployment","Clash of Arms Games",,,"7.9"
"Amazing Space Venture","4","2","12","60","2007","Adventure","Humor","Science Fiction","No","Action Point Allowance System","Hand Management","Partnerships","Sherco games",,,"5.8"
"Amazonas","4","3","10","50","2005","Animals","Exploration",,"No","Hand Management","Route/Network Building","Set Collection","999 Games","KOSMOS","Mayfair Games","6.4"
"Amazons","2","2","12","30","1992","Abstract Strategy",,,"No","Area Enclosure","Grid Movement","Tile Placement","(Web published)","Ediciones de Mente","Kadon Enterprises","7.2"
"Amber","6","2","10","30","2012","Territory Building","Transportation",,"No","Route/Network Building","Tile Placement",,"REBEL.pl","uplay.it edizioni",,"5.2"
"Amber Route","4","2","8","60","2014","Adventure","Card Game","Fantasy","No","Dice Rolling","Hand Management","Modular Board","Bomba Games",,,"5.7"
"America","6","2","10","45","2016","Bluffing","Party Game","Trivia","No","Area Control / Area Influence",,,"Bézier Games"," Inc.",,"7"
"America in Flames","6","2","12","360","1999","Wargame","World War II",,"Yes","Hex-and-Counter",,,"Australian Design Group",,,"6.4"
"America Triumphant: The Battle of the Bulge","2","2","12","90","2003","Wargame","World War II",,"No","Chit-Pull System","Hex-and-Counter",,"Avalanche Press Ltd.",,,"5.6"
"American Civil War 1861-1865","2","2","12","720","1983","American Civil War","Wargame",,"No","Hex-and-Counter",,,"TSR",,,"6.3"
"American Rails","5","3","14","90","2009","Economic","Negotiation","Trains","No","Auction/Bidding","Route/Network Building","Stock Holding","Games on the Brain","Quined Games",,"7.5"
"Amerigo","4","2","10","90","2013","Nautical","Renaissance",,"Yes","Action Point Allowance System","Grid Movement","Modular Board","Arclight","Queen Games",,"7.5"
"Amoeba Wars","6","2","12","150","1981","Science Fiction","Wargame",,"No","Variable Player Powers",,,"Avalon Hill",,,"6"
"Among Nobles","5","3","14","120","2015","Age of Reason","Card Game","Economic","Yes","Area Control / Area Influence","Card Drafting",,"Among Meeples","GaGa Games",,"6.9"
"Among the Stars","4","2","12","30","2012","Card Game","City Building","Science Fiction","Yes","Card Drafting","Simultaneous Action Selection","Tile Placement","Artipia Games","Portal Games","Schwerkraft-Verlag","7.2"
"Among the Stars: Revival","6","2","12","30","2015","Card Game","Science Fiction",,"Yes","Card Drafting","Simultaneous Action Selection","Tile Placement","Artipia Games","Stronghold Games",,"7.4"
"Amun-Re","5","3","12","90","2003","Ancient","Economic",,"No","Area Control / Area Influence","Auction/Bidding",,"999 Games","dV Giochi","Ediciones MasQueOca","7.4"
"AmuseAmaze","6","2","0","40","2007","Maze","Word Game",,"No","Modular Board",,,"HL Games",,,"5.9"
"Amyitis","4","2","12","120","2007","Ancient",,,"Yes","Area Control / Area Influence",,,"HUCH! & friends","Quined White Goblin Games","Rio Grande Games","7"
"An Infamous Traffic","5","2","14","90","2016","Economic","Industry / Manufacturing","Political","No","Chit-Pull System","Dice Rolling","Partnerships","Hollandspiele",,,"7.3"
"Anasazi","4","2","10","30","2006","American West","Exploration",,"No","Modular Board",,,"Mayfair Games","Phalanx Games B.V.",,"5"
"Anathema","4","2","8","30","2003","Card Game","Horror",,"No","Set Collection",,,"APE Games",,,"5.5"
"Ancient Battles Deluxe","2","2","0","60","2008","Ancient","Medieval","Wargame","Yes","Hex-and-Counter",,,"Victory Point Games",,,"7"
"Ancient Terrible Things","4","2","14","60","2014","Dice","Horror","Mythology","Yes","Dice Rolling","Hand Management","Press Your Luck","Feuerland Spiele","Pleasant Company Games","Redbox","7"
"Android","5","3","13","180","2008","Murder/Mystery","Science Fiction",,"Yes","Action Point Allowance System","Hand Management","Variable Player Powers","Fantasy Flight Games",,,"6.8"
"Android: Infiltration","6","2","14","45","2012","Card Game","Exploration","Science Fiction","No","Dice Rolling","Hand Management","Modular Board","Arclight","Edge Entertainment","Fantasy Flight Games","6.6"
"Android: Mainframe","4","2","12","30","2016","Abstract Strategy",,,"No","Area Enclosure","Card Drafting","Take That","Fantasy Flight Games","Edge Entertainment","Galakta","6.9"
"Android: Netrunner","2","2","14","45","2012","Bluffing","Card Game","Collectible Components","Yes","Action Point Allowance System","Hand Management","Secret Unit Deployment","Fantasy Flight Games","Arclight","Edge Entertainment","8"
"Andromeda","4","2","10","60","2015","Dice","Exploration","Science Fiction","No","Area Control / Area Influence","Dice Rolling","Grid Movement","Galakta","Heidelberger Spieleverlag",,"6.8"
"Angkor","4","2","8","30","2005","Territory Building",,,"No","Tile Placement",,,"Schmidt Spiele",,,"5.9"
"Angola","4","2","0","480","1988","Civil War","Modern Warfare","Wargame","No","Area Control / Area Influence","Campaign / Battle Card Driven","Partnerships","Multi-Man Publishing","Ragnar Brothers",,"8"
"Angus: Batalhas Medievais","5","2","9","90","2004","Medieval","Novel-based","Wargame","No","Area Movement","Dice Rolling",,"Grow Jogos e Brinquedos",,,"6.8"
"Anima: Beyond Good and Evil","4","2","0","60","2008","Card Game","Fantasy",,"No","Card Drafting","Dice Rolling","Hand Management","Edge Entertainment","Fantasy Flight Games","Ubik","6.2"
"Anima: Shadow of Omega","5","2","10","60","2006","Adventure","Card Game","Fantasy","No","Card Drafting","Dice Rolling","Hand Management","Edge Entertainment","Fantasy Flight Games","Raven Distribution","5.9"
"Anima: The Twilight of the Gods","5","2","12","60","2009","Card Game","Fantasy",,"No","Card Drafting","Dice Rolling","Hand Management","Edge Entertainment","Fantasy Flight Games",,"6.6"
"Animals on Board","4","2","8","30","2016","Animals",,,"No","Set Collection",,,"999 Games","Ediciones MasQueOca","eggertspiele","6.9"
"Annihilator & One World","2","2","10","60","1980","Fantasy","Science Fiction","Wargame","No","Hex-and-Counter",,,"Metagaming",,,"4.7"
"Anno 1452","4","2","12","90","1999","Medieval","Territory Building",,"No","Area Control / Area Influence","Dice Rolling",,"Piatnik",,,"6.1"
"Anno 1503","4","2","10","90","2003","City Building","Civilization","Exploration","Yes","Tile Placement",,,"KOSMOS","Mayfair Games",,"6.3"
"Anno 1701: Das Brettspiel","4","3","10","120","2007","Age of Reason","Civilization","Exploration","No","Dice Rolling","Trading",,"KOSMOS",,,"6.8"
"Anno 1701: Das Kartenspiel","2","2","10","60","2007","Age of Reason","Card Game","City Building","No","Dice Rolling","Modular Board","Trading","KOSMOS",,,"6.3"
