"name","max_players","min_players","min_age","playing_time","year_published","Category-1","Category-2","Category-3","Expansion_available","Mechanic-1","Mechanic-2","Mechanic-3","Publisher-1","Publisher-2","Publisher-3","average_rating"
"Das Pferd von Troja","4","2","10","40","1993","Ancient","Children's Game","Memory","No","Area Control / Area Influence",,,"Jumbo",,,"5.5"
"Das Wasser des Lebens","4","3","21","60","1997","Civilization",,,"No","Modular Board","Trading",,"KOSMOS",,,"7.6"
"Dastardly Dirigibles","5","2","8","60","2016","Card Game",,,"Yes","Set Collection",,,"Fireside Games",,,"6.6"
"David & Goliath","6","3","8","60","1998","Card Game",,,"No","Trick-taking",,,"Berliner Spielkarten","Pegasus Spiele","Playroom Entertainment","6.5"
"DaVinci's Challenge","4","2","8","30","2004","Abstract Strategy","Puzzle",,"No","Pattern Recognition","Tile Placement",,"Briarpatch",,,"5.6"
"Dawn Patrol","52","2","12","60","1982","Aviation / Flight","Wargame","World War I","No","Dice Rolling","Hex-and-Counter","Role Playing","TSR",,,"6.7"
"Dawn Under","6","2","6","30","2004","Children's Game","Horror","Memory","Yes","Memory",,,"999 Games","Competo / Marektoy","Gigamic","6.4"
"Daxu","2","2","10","30","2015","Card Game",,,"No","Auction/Bidding","Set Collection",,"White Goblin Games",,,"6.7"
"Day & Night","2","2","10","45","2008","Abstract Strategy","Fantasy",,"No","Area Control / Area Influence","Hand Management","Pattern Building","Mystics.nl",,,"6.6"
"Days of Decision","7","2","12","360","1990","Political","Wargame","World War II","No","Dice Rolling","Hex-and-Counter","Simultaneous Action Selection","Australian Design Group",,,"6.2"
"Days of Steam","4","2","10","60","2009","Dice","Racing","Trains","Yes","Dice Rolling","Hand Management","Pick-up and Deliver","JKLM Games","REBEL.pl","StrataMax Games","6"
"Daytona 500","4","2","10","70","1990","Card Game","Racing","Sports","No","Auction/Bidding","Hand Management",,"Milton Bradley",,,"7.1"
"DC Comics Deck-Building Game","5","2","15","45","2012","Card Game","Comic Book / Strip",,"Yes","Deck / Pool Building",,,"Broadway Toys LTD","Cosmic Games","Cryptozoic Entertainment","7"
"DC Comics Deck-Building Game: Forever Evil","5","2","0","75","2014","Card Game","Comic Book / Strip",,"Yes","Deck / Pool Building",,,"Cryptozoic Entertainment",,,"7.3"
"DC Comics Deck-Building Game: Heroes Unite","5","2","15","45","2014","Card Game","Comic Book / Strip",,"Yes","Deck / Pool Building",,,"Cryptozoic Entertainment",,,"7.4"
"DC Comics Deck-Building Game: Rivals – Batman vs The Joker","2","2","15","30","2014","Card Game","Comic Book / Strip",,"Yes","Deck / Pool Building",,,"Cryptozoic Entertainment",,,"7.2"
"DC Comics Deck-Building Game: Teen Titans","5","2","15","75","2015","Card Game","Comic Book / Strip",,"Yes","Deck / Pool Building",,,"Cryptozoic Entertainment",,,"7.2"
"DC Comics Dice Masters: Justice League","2","2","14","60","2015","Collectible Components","Comic Book / Strip","Dice","Yes","Deck / Pool Building","Dice Rolling",,"WizKids",,,"7.6"
"DC Comics Dice Masters: War of Light","2","2","14","60","2015","Collectible Components","Comic Book / Strip","Dice","Yes","Deck / Pool Building","Dice Rolling",,"WizKids",,,"7.5"
