Title,Title_Romaji,Title_English,Title_Japanese,Season,SeasonYear,Genre1,Genre2,Genre3,Demographic,Studio,Title_Clean,Circulation_Num,Circulation_PreAnime
Kamisama no Memochou,Kamisama no Memochou,Heaven's Memo Pad,??????,SUMMER,2011,Mystery,,,,J.C.STAFF,Kamisama no Memochou,,
Kanata no Astra,Kanata no Astra,ASTRA LOST IN SPACE,???????,SUMMER,2019,Adventure,Mystery,Sci-Fi,Shounen,Lerche,Kanata no Astra,,
Kannagi,Kannagi,Kannagi: Crazy Shrine Maidens,????,FALL,2008,Comedy,Supernatural,,Shounen,A-1 Pictures,Kannagi,,
Kanojo ga Flag wo Oraretara,Kanojo ga Flag wo Oraretara,If Her Flag Breaks,????????????,SPRING,2014,Comedy,Romance,,,Hoods Entertainment,Kanojo ga Flag wo Oraretara,,
"Kanojo, Okarishimasu","Kanojo, Okarishimasu",Rent-a-Girlfriend,?????????,SUMMER,2020,Comedy,Drama,Romance,Shounen,TMS Entertainment,"Kanojo, Okarishimasu",,
Kanon,Kanon, Kanon,???,WINTER,2002,Drama,Romance,Slice of Life,,Toei Animation,Kanon,,
Kantoku Fuyuki Todoki,Kantoku Fuyuki Todoki, Insufficient Direction,?????,SPRING,2014,Comedy,Slice of Life,,Josei,DLE,Kantoku Fuyuki Todoki,,3000000
Karakai Jouzu no Takagi-san,Karakai Jouzu no Takagi-san,Teasing Master Takagi-san,???????????,WINTER,2018,Comedy,Romance,Slice of Life,Shounen,Shin-Ei Animation,Karakai Jouzu no Takagi-san,,1000000
Karakuri Circus,Karakuri Circus,Karakuri Circus,????????,FALL,2018,Adventure,Mystery,,Shounen,Studio VOLN,Karakuri Circus,,
Kareshi Kanojo no Jijou,Kareshi Kanojo no Jijou,His and Her Circumstances,???????,FALL,1998,Comedy,Drama,Romance,Shoujo,Gainax,Kareshi Kanojo no Jijou,,
Karin,Karin,Karin: Chibi Vampire,???,FALL,2005,Comedy,Romance,Supernatural,Shounen,J.C.STAFF,Karin,,
Kashimashi: Girl Meets Girl,Kashimashi: Girl Meets Girl,Girl Meets Girl,?????????????????,WINTER,2006,Comedy,Drama,Romance,,Studio Hibari,Kashimashi: Girl Meets Girl,,
Katanagatari,Katanagatari,Katanagatari,??,WINTER,2010,Action,Adventure,Romance,,WHITE FOX,Katanagatari,,
Katekyo Hitman Reborn!,Katekyou Hitman REBORN!,REBORN!,?????????REBORN!,FALL,2006,Action,Comedy,,Shounen,Artland,Katekyo Hitman Reborn!,,
Katsute Kami Datta Kemono-tachi e,Katsute Kami Datta Kemono-tachi e,To the Abandoned Sacred Beasts,???????????,SUMMER,2019,Action,Drama,Fantasy,Shounen,MAPPA,Katsute Kami Datta Kemono-tachi e,,
Kawaii dake ja Nai Shikimori-san,Kawaii dake ja Nai Shikimori-san,Shikimori's Not Just a Cutie,?????????????,SPRING,2022,Comedy,Romance,Slice of Life,Shounen,Doga Kobo,Kawaii dake ja Nai Shikimori-san,,
Kaze ga Tsuyoku Fuiteiru,Kaze ga Tsuyoku Fuiteiru,Run with the Wind,?????????,FALL,2018,Drama,Sports,,,Production I.G,Kaze ga Tsuyoku Fuiteiru,,
Kaze no Stigma,Kaze no Stigma,Kaze no Stigma,???????,SPRING,2007,Action,Drama,Fantasy,,GONZO,Kaze no Stigma,,
Kekkai Sensen,Kekkai Sensen,Blood Blockade Battlefront,????,SPRING,2015,Action,Comedy,Supernatural,Shounen,bones,Kekkai Sensen,,
Kekkaishi,Kekkaishi,Kekkaishi,???,FALL,2006,Action,Adventure,Comedy,Shounen,Sunrise,Kekkaishi,,
Kemono Jihen,Kemono Jihen,Kemono Jihen,????,WINTER,2021,Action,Drama,Mystery,Shounen,Ajiado,Kemono Jihen,,
Kenja no Deshi wo Nanoru Kenja,Kenja no Deshi wo Nanoru Kenja,She Professed Herself Pupil of the Wise Man,???????????,WINTER,2022,Adventure,Fantasy,,,studio A-CAT,Kenja no Deshi wo Nanoru Kenja,,
Kenja no Mago,Kenja no Mago,Wise Man’s Grandchild,????,SPRING,2019,Action,Comedy,Fantasy,,SILVER LINK.,Kenja no Mago,,
Keppeki Danshi! Aoyama-kun,Keppeki Danshi! Aoyama-kun,Clean Freak! Aoyama kun,????! ????,SUMMER,2017,Comedy,Sports,,Seinen,Studio Hibari,Keppeki Danshi! Aoyama-kun,,
Keroro Gunsou,Keroro Gunsou,Sgt. Frog,?????,SPRING,2004,Comedy,Sci-Fi,,Shounen,Sunrise,Keroro Gunsou,,
Kidou Butouden G Gundam,Kidou Butouden G Gundam,Mobile Fighter G Gundam,?????G????,SPRING,1994,Action,Adventure,Drama,,Sunrise,Kidou Butouden G Gundam,,
Kidou Senshi Gundam,Kidou Senshi Gundam,Mobile Suit Gundam,????????,SPRING,1979,Drama,Mecha,Sci-Fi,,Sunrise,Kidou Senshi Gundam,,
Kidou Senshi Gundam 00,Kidou Senshi Gundam 00,Mobile Suit Gundam 00,????????00,FALL,2007,Action,Drama,Mecha,,Sunrise,Kidou Senshi Gundam 00,,
Kidou Senshi Gundam: Tekketsu no Orphans,Kidou Senshi Gundam: Tekketsu no Orphans,Mobile Suit GUNDAM Iron Blooded Orphans,???????? ?????????,FALL,2015,Action,Drama,Mecha,,Sunrise,Kidou Senshi Gundam: Tekketsu no Orphans,,
Kill Me Baby,Kill Me Baby,Kill Me Baby,????????,WINTER,2012,Comedy,,,Seinen,J.C.STAFF,Kill Me Baby,,
Kimetsu no Yaiba,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,????,SPRING,2019,Action,Adventure,Drama,Shounen,ufotable,Kimetsu no Yaiba,,5000000
Kimi ni Todoke,Kimi ni Todoke,Kimi ni Todoke: From Me to You,????,FALL,2009,Comedy,Drama,Romance,Shoujo,Production I.G,Kimi ni Todoke,3685,
Kimi no Iru Machi,Kimi no Iru Machi,A Town Where You Live,?????,SUMMER,2013,Drama,Romance,Slice of Life,Shounen,GONZO,Kimi no Iru Machi,,
"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen","Kimi to Boku no Saigo no Senjou, Arui wa Sekai ga Hajimaru Seisen Season II",Our Last Crusade or the Rise of a New World Season 2,??????????????????????? Season II,SUMMER,2024,Action,Fantasy,Romance,,SILVER LINK.,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen",,
Kimi wa Houkago Insomnia,Kimi wa Houkago Insomnia,Insomniacs After School,???????????,SPRING,2023,Romance,Slice of Life,,Seinen,LIDENFILMS,Kimi wa Houkago Insomnia,,
Kindaichi Shounen no Jikenbo Returns,Kindaichi Shounen no Jikenbo R,The File of Young Kindaichi Returns,?????????R,SPRING,2014,Mystery,,,Shounen,Toei Animation,Kindaichi Shounen no Jikenbo Returns,,90000000
Kingdom,Kingdom,Kingdom,?????,SUMMER,2012,Action,Drama,,Seinen,Studio Pierrot,Kingdom,12016,
Kinnikuman,Kinnikuman, Kinnikuman (localized as Ultimate Muscle in the sequel),?????,SPRING,1983,Adventure,Comedy,Sports,Shounen,Toei Animation,Kinnikuman,8526,
Kino no Tabi: The Beautiful World,Kino no Tabi: the Beautiful World,Kino's Journey,???? -the Beautiful World-,SPRING,2003,Adventure,Drama,Fantasy,,A.C.G.T.,Kino no Tabi: The Beautiful World,,
Kishin Douji Zenki,Kishin Douji ZENKI,Zenki,????ZENKI,WINTER,1995,Action,Comedy,Drama,Shounen,Studio DEEN,Kishin Douji Zenki,,
Kishuku Gakkou no Juliet,Kishuku Gakkou no Juliet,Boarding School Juliet,???????????,FALL,2018,Comedy,Romance,,Shounen,LIDENFILMS,Kishuku Gakkou no Juliet,,
Kiteretsu Daihyakka,Kiteretsu Daihyakka,Kiteretsu Encyclopedia,???????,SPRING,1988,Comedy,Drama,Slice of Life,,Studio Gallop,Kiteretsu Daihyakka,,
Kiznaiver,Kiznaiver,Kiznaiver,???????,SPRING,2016,Drama,Romance,Sci-Fi,Seinen,TRIGGER,Kiznaiver,,
Knight's & Magic,Knight's & Magic,Knight's & Magic,???&????,SUMMER,2017,Action,Fantasy,Mecha,,8-bit,Knight's & Magic,,
Kobato.,Kobato.,Kobato,????,FALL,2009,Comedy,Drama,Fantasy,Shoujo,MADHOUSE,Kobato.,,
Kobayashi-san Chi no Maid Dragon,Kobayashi-san Chi no Maidragon,Miss Kobayashi's Dragon Maid,????????????,WINTER,2017,Comedy,Fantasy,Slice of Life,Seinen,Kyoto Animation,Kobayashi-san Chi no Maid Dragon,,
Kobo-chan,Kobo-chan," Kobo, the Li'l Rascal",?????,FALL,1992,Comedy,Slice of Life,,,,Kobo-chan,,
Kochira Katsushikaku Kameari Kouenmae Hashutsujo,Kochira Katsushikaku Kameari Kouenmae Hashutsujo, Kochikame: Tokyo Beat Cops,??????????????,FALL,1985,Comedy,,,,,Kochira Katsushikaku Kameari Kouenmae Hashutsujo,,
Koi Kaze,Koi Kaze, Love Wind,??,SPRING,2004,Drama,Psychological,Romance,Seinen,A.C.G.T.,Koi Kaze,,
Koi to Senkyo to Chocolate,Koi to Senkyo to Chocolate,"Love, Election and Chocolate",???????????,SUMMER,2012,Drama,Romance,,,AIC Build,Koi to Senkyo to Chocolate,,
Koi to Uso,Koi to Uso,LOVE and LIES,???,SUMMER,2017,Drama,Romance,,Shounen,LIDENFILMS,Koi to Uso,,
Koi to Yobu ni wa Kimochi Warui,Koi to Yobu ni wa Kimochi Warui,Koikimo,???????????,SPRING,2021,Comedy,Romance,Slice of Life,Josei,Nomad,Koi to Yobu ni wa Kimochi Warui,,
Koi wa Ameagari no You ni,Koi wa Ameagari no You ni,After the Rain,??????????,WINTER,2018,Drama,Romance,Slice of Life,Seinen,WIT STUDIO,Koi wa Ameagari no You ni,,
Koi wa Sekai Seifuku no Ato de,Koi wa Sekai Seifuku no Ato de,Love After World Domination,??????????,SPRING,2022,Action,Comedy,Romance,Shounen,project No.9,Koi wa Sekai Seifuku no Ato de,,
Koisuru Asteroid,Koisuru Asteroid,Asteroid in Love,??????????????,WINTER,2020,Comedy,Slice of Life,,Seinen,Doga Kobo,Koisuru Asteroid,,
Kokkoku,Kokkoku,KOKKOKU,??,WINTER,2018,Action,Drama,Mystery,Seinen,Geno Studio,Kokkoku,,
Kokoro Connect,Kokoro Connect,Kokoro Connect,???????,SUMMER,2012,Drama,Romance,Slice of Life,,SILVER LINK.,Kokoro Connect,,
"Komi-san wa, Comyushou desu.","Komi-san wa, Komyushou desu.",Komi Can’t Communicate,?????????????,FALL,2021,Comedy,Romance,Slice of Life,Shounen,OLM,"Komi-san wa, Comyushou desu.",,2000000
Komori-san wa Kotowarenai!,Komori-san wa Kotowarenai!,Komori-san Can't Decline!,?????????!,FALL,2015,Comedy,Slice of Life,,Seinen,Artland,Komori-san wa Kotowarenai!,,
"Kono Healer, Mendokusai","Kono Healer, Mendokusai","Don’t Hurt Me, My Healer!",?????????????,SPRING,2022,Adventure,Comedy,Fantasy,Seinen,Jumondou,"Kono Healer, Mendokusai",,
Kono Minikuku mo Utsukushii Sekai,Kono Minikuku mo Utsukushii Sekai,This Ugly Yet Beautiful World,??????????,SPRING,2004,Comedy,Drama,Romance,,Gainax,Kono Minikuku mo Utsukushii Sekai,,
Kono Oto Tomare!,Kono Oto Tomare!,Kono Oto Tomare!: Sounds of Life,??????!,SPRING,2019,Drama,Music,Romance,Shounen,Platinum Vision,Kono Oto Tomare!,,7500000
Koori Zokusei Danshi to Cool na Douryou Joshi,Koori Zokusei Danshi to Cool na Douryou Joshi,The Ice Guy and His Cool Female Colleague,??????????????,WINTER,2023,Comedy,Romance,Slice of Life,Josei,Zero-G,Koori Zokusei Danshi to Cool na Douryou Joshi,,
Koroshi Ai,Koroshi Ai,Love of Kill,???,WINTER,2022,Action,Psychological,Romance,Shoujo,Platinum Vision,Koroshi Ai,,5400000
Kotoura-san,Kotoura-san,The Troubled Life of Miss Kotoura,????,WINTER,2013,Comedy,Drama,Romance,Seinen,AIC,Kotoura-san,,
Koufuku Graffiti,Koufuku Graffiti,Gourmet Girl Graffiti,????????,WINTER,2015,Slice of Life,,,Seinen,Shaft,Koufuku Graffiti,,
Koukaku Kidoutai: Stand Alone Complex,Koukaku Kidoutai: STAND ALONE COMPLEX,Ghost in the Shell: Stand Alone Complex,????? STAND ALONE COMPLEX,FALL,2002,Action,Mystery,Psychological,Seinen,Production I.G,Koukaku Kidoutai: Stand Alone Complex,,
Koukyoushihen Eureka Seven,Koukyoushihen Eureka Seven,Eureka Seven,???????????,SPRING,2005,Action,Adventure,Drama,,bones,Koukyoushihen Eureka Seven,,
Koutetsujou no Kabaneri,Koutetsujou no Kabaneri,Kabaneri of the Iron Fortress,????????,SPRING,2016,Action,Drama,Fantasy,,WIT STUDIO,Koutetsujou no Kabaneri,,
Kubo-san wa Mob wo Yurusanai,Kubo-san wa Mob wo Yurusanai,Kubo Won't Let Me Be Invisible,???????????,WINTER,2023,Comedy,Romance,Slice of Life,Seinen,PINE JAM,Kubo-san wa Mob wo Yurusanai,,
Kujira no Kora wa Sajou ni Utau,Kujira no Kora wa Sajou ni Utau,Children of the Whales,????????????,FALL,2017,Adventure,Drama,Fantasy,Shoujo,J.C.STAFF,Kujira no Kora wa Sajou ni Utau,,
Kuma Miko,Kuma Miko,Kumamiko -Girl Meets Bear,????,SPRING,2016,Comedy,Slice of Life,,Seinen,Kinema Citrus,Kuma Miko,,
Kumichou Musume to Sewagakari,Kumichou Musume to Sewagakari,The Yakuza's Guide to Babysitting,???????,SUMMER,2022,Comedy,Slice of Life,,Josei,feel.,Kumichou Musume to Sewagakari,,
"Kumo desu ga, Nani ka?","Kumo desu ga, Nani ka?","So I'm a Spider, So What?",??????????,WINTER,2021,Action,Adventure,Comedy,,Millepensee,"Kumo desu ga, Nani ka?",,
Kunoichi Tsubaki no Mune no Uchi,Kunoichi Tsubaki no Mune no Uchi,In the Heart of Kunoichi Tsubaki,??????????,SPRING,2022,Comedy,Supernatural,,Shounen,CloverWorks,Kunoichi Tsubaki no Mune no Uchi,,
Kuragehime,Kuragehime,Princess Jellyfish,???,FALL,2010,Comedy,Romance,Slice of Life,Josei,Brain's Base,Kuragehime,,
Kure-nai,Kure-nai,Kurenai,?,SPRING,2008,Action,Comedy,Drama,,Brain's Base,Kure-nai,,
Kuro no Shoukanshi,Kuro no Shoukanshi,Black Summoner,?????,SUMMER,2022,Action,Adventure,Fantasy,,Satelight,Kuro no Shoukanshi,,
Kuroko no Basket,Kuroko no Basket,Kuroko's Basketball,??????,SPRING,2012,Comedy,Sports,,Shounen,Production I.G,Kuroko no Basket,,
Kuroshitsuji,Kuroshitsuji: Book of the Atlantic,Black Butler: Book of the Atlantic,??? Book of the Atlantic,WINTER,2017,Action,Comedy,Fantasy,Shounen,A-1 Pictures,Kuroshitsuji,,619501000000
Kurozuka,Kurozuka,Kurozuka,??,FALL,2008,Action,Drama,Horror,Seinen,MADHOUSE,Kurozuka,,
Kuutei Dragons,Kuutei Dragons,Drifting Dragons,???????,WINTER,2020,Action,Adventure,Fantasy,Seinen,POLYGON PICTURES,Kuutei Dragons,,
Kyokou Suiri,Kyokou Suiri,In/Spectre,????,WINTER,2020,Comedy,Mystery,Romance,,Brain's Base,Kyokou Suiri,,
Kyoto Teramachi Sanjou no Holmes,Kyoto Teramachi Sanjou no Holmes,Holmes of Kyoto,???????????,SUMMER,2018,Mystery,,,,Seven,Kyoto Teramachi Sanjou no Holmes,,
Kyoukai no Kanata,Kyoukai no Kanata,Beyond the Boundary,?????,FALL,2013,Action,Drama,Fantasy,,Kyoto Animation,Kyoukai no Kanata,,
Kyoukai no Rinne,Kyoukai no Rinne,Rin-ne,???Rinne,SPRING,2015,Comedy,Romance,Supernatural,Shounen,Brain's Base,Kyoukai no Rinne,,76000000000
Kyoukaisenjou no Horizon,Kyoukaisenjou no Horizon,Horizon in the Middle of Nowhere,??????????,FALL,2011,Action,Comedy,Drama,,Sunrise,Kyoukaisenjou no Horizon,,
Kyouran Kazoku Nikki,Kyouran Kazoku Nikki, The Diary of a Crazed Family,??????,SPRING,2008,Comedy,Sci-Fi,,,Nomad,Kyouran Kazoku Nikki,,
Kyoushirou to Towa no Sora,Kyoshiro to Towa no Sora Specials,Shattered Angels Specials,????????,SUMMER,2007,Drama,Romance,,Shounen,,Kyoushirou to Towa no Sora,,
Last Exile: Ginyoku no Fam,Last Exile: Ginyoku no Fam,"LASTEXILE -Fam, the Silver Wing",????????-??????-,FALL,2011,Action,Adventure,Fantasy,,GONZO,Last Exile: Ginyoku no Fam,,
Le Chevalier D'Eon,Le Chevalier D'Eon, Le Chevalier D'Eon,?????? ~Le Chevalier D'Eon~,SUMMER,2006,Mystery,Supernatural,,,Production I.G,Le Chevalier D'Eon,,
Leadale no Daichi nite,Leadale no Daichi nite,In the Land of Leadale,??????????,WINTER,2022,Adventure,Fantasy,,,Maho Film,Leadale no Daichi nite,,
Level 1 dakedo Unique Skill de Saikyou desu,Level 1 dakedo Unique Skill de Saikyou desu,My Unique Skill Makes Me OP even at Level 1,???1???????????????,SUMMER,2023,Adventure,Fantasy,,,Maho Film,Level 1 dakedo Unique Skill de Saikyou desu,,
Level E,Level E,Level E,???E,WINTER,2011,Comedy,Sci-Fi,,Shounen,Studio Pierrot,Level E,,
Little Busters!,Little Busters!,Little Busters!,????????!,FALL,2012,Comedy,Drama,Slice of Life,,J.C.STAFF,Little Busters!,,
Lodoss-tou Senki: Eiyuu Kishi Den,Lodoss-tou Senki: Eiyuu Kishi Den,Record of Lodoss War: Chronicles of the Heroic Knight,?????????????,SPRING,1998,Action,Adventure,Drama,,AIC,Lodoss-tou Senki: Eiyuu Kishi Den,,
Log Horizon,Log Horizon,Log Horizon,????????,FALL,2013,Action,Adventure,Fantasy,,Satelight,Log Horizon,,
Lost Universe,Lost Universe,Lost Universe,?????????,SPRING,1998,Adventure,Comedy,Drama,,E&G Films,Lost Universe,,
Love Lab,Love Lab,Love Lab,????,SUMMER,2013,Comedy,Romance,,Seinen,Doga Kobo,Love Lab,,
Loveless,LOVELESS,Loveless,LOVELESS,SPRING,2005,Action,Drama,Fantasy,Josei,J.C.STAFF,Loveless,,
Lupin III,LUPIN the Third: Mine Fujiko to Iu Onna,Lupin the Third: The Woman Called Fujiko Mine,LUPIN the Third ~????????~,SPRING,2012,Action,Adventure,Comedy,Seinen,TMS Entertainment,Lupin III,,
Lv1 Maou to One Room Yuusha,Lv1 Maou to One Room Yuusha,Level 1 Demon Lord and One Room Hero,Lv1??????????,SUMMER,2023,Action,Adventure,Comedy,Seinen,SILVER LINK.,Lv1 Maou to One Room Yuusha,,
Lycoris Recoil,Lycoris Recoil,Lycoris Recoil,?????????,SUMMER,2022,Action,Slice of Life,,,A-1 Pictures,Lycoris Recoil,,
Mach GoGoGo,Mach GoGoGo,Speed Racer,????GoGoGo,SPRING,1967,Action,Adventure,Sports,Shounen,Tatsunoko Production,Mach GoGoGo,,
Machikado Mazoku,Machikado Mazoku,The Demon Girl Next Door,???????,SUMMER,2019,Comedy,Fantasy,Mahou Shoujo,Seinen,J.C.STAFF,Machikado Mazoku,,
Made in Abyss,Made in Abyss,Made in Abyss,????????,SUMMER,2017,Adventure,Drama,Fantasy,Seinen,Kinema Citrus,Made in Abyss,22166,
Magic Knight Rayearth,Magic Knight Rayearth,Magic Knight Rayearth,????(???????)?????,FALL,1994,Action,Adventure,Comedy,Shoujo,Tokyo Movie Shinsha,Magic Knight Rayearth,,
Magikano,Magikano,Magikano,????,WINTER,2006,Comedy,Fantasy,Romance,Shounen,,Magikano,,
Mahou no Tenshi Creamy Mami,Mahou no Tenshi Creamy Mami,Magical Angel Creamy Mami,????? ???????,SUMMER,1983,Comedy,Fantasy,Mahou Shoujo,Shoujo,Studio Pierrot,Mahou no Tenshi Creamy Mami,,
Mahou Sensou,Mahou Sensou,Magical Warfare,????,WINTER,2014,Action,Fantasy,,,MADHOUSE,Mahou Sensou,,
Mahou Shoujo Ikusei Keikaku,Mahou Shoujo Ikusei Keikaku,Magical Girl Raising Project,????????,FALL,2016,Action,Fantasy,Horror,,Lerche,Mahou Shoujo Ikusei Keikaku,,
Mahou Shoujo Ore,Mahou Shoujo Ore,Magical Girl Ore,???? ?,SPRING,2018,Action,Comedy,Mahou Shoujo,,Studio Signpost,Mahou Shoujo Ore,,
Mahou Shoujo Site,Mahou Shoujo Site,MAGICAL GIRL SITE,???????,SPRING,2018,Action,Drama,Horror,,production doA,Mahou Shoujo Site,,
Mahoujin Guruguru,Mahoujin Guru Guru,Magical Circle Guru Guru,???????,FALL,1994,Adventure,Comedy,Fantasy,Shounen,Nippon Animation,Mahoujin Guruguru,,
Mahouka Koukou no Rettousei,Mahouka Koukou no Rettousei,The Irregular at Magic High School,?????????,SPRING,2014,Action,Romance,Sci-Fi,,MADHOUSE,Mahouka Koukou no Rettousei,,
Mahoutsukai ni Taisetsu na Koto,Mahoutsukai ni Taisetsu na Koto,Someday's Dreamers,??????????,WINTER,2003,Drama,Slice of Life,Supernatural,,J.C.STAFF,Mahoutsukai ni Taisetsu na Koto,,
Mahoutsukai no Yome,Mahoutsukai no Yome,The Ancient Magus' Bride,??????,FALL,2017,Drama,Fantasy,Romance,Shounen,WIT STUDIO,Mahoutsukai no Yome,,104518000000
Mahoutsukai Precure!,Mahoutsukai Precure!,Witchy Precure!,??????????!,WINTER,2016,Action,Fantasy,Mahou Shoujo,,Toei Animation,Mahoutsukai Precure!,,
Mahoutsukai Reimeiki,Mahoutsukai Reimeiki,The Dawn of the Witch,???????,SPRING,2022,Action,Adventure,Comedy,,Tezuka Productions,Mahoutsukai Reimeiki,,
Mai-HiME,Mai-HiME,My-HiME,?-HiME,FALL,2004,Action,Comedy,Drama,,Sunrise,Mai-HiME,,
Maiko-san Chi no Makanai-san,Maiko-san Chi no Makanai-san,Kiyo in Kyoto: From the Maiko House,????????????,WINTER,2021,Slice of Life,,,Shounen,J.C.STAFF,Maiko-san Chi no Makanai-san,,
Mairimashita! Iruma-kun,Mairimashita! Iruma-kun,Welcome to Demon School! Iruma-kun,??????!????,FALL,2019,Comedy,Fantasy,,Shounen,Bandai Namco Pictures,Mairimashita! Iruma-kun,,
Maison Ikkoku,Maison Ikkoku,Maison Ikkoku,?????,SPRING,1986,Comedy,Drama,Romance,Seinen,Studio DEEN,Maison Ikkoku,25141,
Maji de Watashi ni Koi Shinasai!,Maji de Watashi ni Koi Shinasai!,Majikoi: Oh! Samurai Girls,??????????!,FALL,2011,Action,Comedy,Drama,,Lerche,Maji de Watashi ni Koi Shinasai!,,
Majin Tantei Nougami Neuro,Majin Tantei Nougami Neuro,Neuro: Supernatural Detective,???? ?????,FALL,2007,Comedy,Mystery,Supernatural,Shounen,MADHOUSE,Majin Tantei Nougami Neuro,,
Majo no Tabitabi,Majo no Tabitabi,Wandering Witch: The Journey of Elaina,?????,FALL,2020,Adventure,Fantasy,Slice of Life,,C2C,Majo no Tabitabi,,
Makai Ouji: Devils and Realist,Makai Ouji: devils and realist,Devils and Realist,???? devils and realist,SUMMER,2013,Comedy,Fantasy,Mystery,Josei,Doga Kobo,Makai Ouji: Devils and Realist,,
Mama wa Shougaku 4 Nensei,Mama wa Shougaku 4 Nensei, Mama is a 4th Grader,?????4??,WINTER,1992,Comedy,Drama,Sci-Fi,,,Mama wa Shougaku 4 Nensei,,
Mamahaha no Tsurego ga Motokano datta,Mamahaha no Tsurego ga Motokano datta,My Stepmom's Daughter is My Ex,?????????????,SUMMER,2022,Comedy,Romance,,,project No.9,Mamahaha no Tsurego ga Motokano datta,,
Mamotte Shugogetten!,Mamotte Shugogetten!," Protect Me, Heavenly Guardian!",????????!,FALL,1998,Comedy,Mahou Shoujo,Romance,Shounen,Toei Animation,Mamotte Shugogetten!,,
Mamotte! Lollipop,Mamotte! Lollipop,Save Me! Lollipop,????!?????,SUMMER,2006,Adventure,Comedy,Romance,Shoujo,Sunshine Corporation,Mamotte! Lollipop,,
Maou Dante,Maou Dante,Demon Lord Dante,?????,SUMMER,2002,Action,Horror,Supernatural,Shounen,Magic Bus,Maou Dante,,
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou","Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",The Misfit of Demon King Academy: History’s Strongest Demon King Reincarnates and Goes to School with His Descendants,????????? ~?????????????????????????~,SUMMER,2020,Action,Comedy,Fantasy,,SILVER LINK.,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",,
"Maou-sama, Retry!","Maou-sama, Retry!","Demon Lord, Retry!",????????!,SUMMER,2019,Action,Adventure,Comedy,,EKACHI EPILKA,"Maou-sama, Retry!",,
Maoyuu Maou Yuusha,Maoyuu Maou Yuusha,Maoyu: Archenemy & Hero,????????,WINTER,2013,Adventure,Fantasy,Romance,,Arms,Maoyuu Maou Yuusha,,450000
Maria-sama ga Miteru,Maria-sama ga Miteru,Maria Watches Over Us,????????,WINTER,2004,Drama,Romance,Slice of Life,Shoujo,Studio DEEN,Maria-sama ga Miteru,,
Marmalade Boy,Marmalade Boy,Marmalade Boy,?????????,SPRING,1994,Comedy,Drama,Romance,Shoujo,Toei Animation,Marmalade Boy,,
Mars Red,MARS RED,MARS RED,MARS RED,SPRING,2021,Action,Drama,Sci-Fi,,Signal.MD,Mars Red,,
Masamune-kun no Revenge,Masamune-kun no Revenge,Masamune-kun's Revenge,?????????,WINTER,2017,Comedy,Romance,Slice of Life,Shounen,SILVER LINK.,Masamune-kun no Revenge,,
Mashiro no Oto,Mashiro no Oto,Those Snow White Notes,??????,SPRING,2021,Drama,Music,,Shounen,Shin-Ei Animation,Mashiro no Oto,,70223
Mashle,MASHLE,MASHLE: MAGIC AND MUSCLES,?????-MASHLE-,SPRING,2023,Action,Comedy,Fantasy,Shounen,A-1 Pictures,Mashle,,4000000
Master Keaton,MASTER Keaton, Master Keaton,MASTER????,FALL,1998,Adventure,Drama,Mystery,Seinen,MADHOUSE,Master Keaton,20187,
Matantei Loki Ragnarok,Matantei Loki RAGNAROK,Mythical Detective Loki Ragnarok,????? RAGNAROK,SPRING,2003,Comedy,Mystery,Supernatural,Shounen,Studio DEEN,Matantei Loki Ragnarok,,
Mawaru Penguindrum,Mawaru Penguindrum,Penguindrum,????????,SUMMER,2011,Drama,Mystery,Psychological,,Brain's Base,Mawaru Penguindrum,,
Mayoi Neko Overrun!,Mayoi Neko Overrun!, Mayoi Neko Overrun!,?????????!,SPRING,2010,Comedy,Romance,,,AIC,Mayoi Neko Overrun!,,
Mayonaka no Occult Koumuin,Mayonaka no Occult Koumuin,Midnight Occult Civil Servants,???????????,SPRING,2019,Fantasy,Supernatural,,Shoujo,LIDENFILMS,Mayonaka no Occult Koumuin,,
Mazinger Z,Mazinger Z,Mazinger Z,?????Z,FALL,1972,Action,Drama,Mecha,Shounen,Toei Animation,Mazinger Z,20188,
Medaka Box,Medaka Box,Medaka Box,???????,SPRING,2012,Action,Comedy,,Shounen,Gainax,Medaka Box,,
Medarot,Medarot,Medabots,?????,SUMMER,1999,Action,Adventure,Comedy,,Bee Train,Medarot,,
Megami Kouhosei,Megami Kouhosei,Pilot Candidate,?????,WINTER,2000,Action,Mecha,Sci-Fi,Seinen,Xebec,Megami Kouhosei,,
Meikyuu Black Company,Meikyuu Black Company,The Dungeon of Black Company,???????????,SUMMER,2021,Comedy,Fantasy,,Shounen,SILVER LINK.,Meikyuu Black Company,,
Microid S,Microid S, Microid S,?????S,SPRING,1973,Sci-Fi,,,,,Microid S,,
