Manga Title,Anime Title,Season,Genre-1,Genre-2,Genre-3,Demographic,Studio,Manga Sales Pre-Anime,Platform_ABEMA_JP,Rating_ABEMA_JP,Platform_TV_JP,Rating_TV_JP,Platform_Crunchyroll_US,Rating_Crunchyroll_US,Platform_Netflix_US,Rating_Netflix_US,Platform_Netflix_PH,Rating_Netflix_PH,Platform_Bilibili_PH,Rating_Bilibili_PH
,Brothers Conflict,SUMMER,Romance,Harem,,Shoujo,Brain's Base,,,,,,,,,,,,,
,Bungo Stray Dogs,SPRING,Action,Comedy,Mystery,Seinen,bones,,,,,,,,,,,,,
,Bus Gamer,WINTER,Action,Drama,,Shoujo,Anpro,,,,,,,,,,,,,
,Arms Alchemy,FALL,Action,Comedy,Fantasy,Shounen,Xebec,,,,,,,,,,,,,
,Buzzer Beater,WINTER,Action,Sci-Fi,Sports,Shounen,TMS Entertainment,,,,,,,,,,,,,
,Canaan,SUMMER,Action,Sci-Fi,Supernatural,Seinen,P.A.WORKS,,,,,,,,,,,,,
,Candy Candy,FALL,Drama,Slice of Life,,Shoujo,Toei Animation,,,,,,,,,,,,,
,Canvas 2: Rainbow Colored Sketch,FALL,Comedy,Drama,Romance,Seinen,ZEXCS,,,,,,,,,,,,,
,Capeta,FALL,Drama,Sports,,Shounen,Studio Comet,,,,,,,,,,,,,
,Captain Tsubasa,FALL,Action,Sports,,Shounen,Tsuchida Productions,,,,,,,,,,,,,
,Cardcaptor Sakura,SPRING,Comedy,Drama,Fantasy,Shoujo,MADHOUSE,,,,,,,,,,,,,
,CARDFIGHT!! VANGUARD,SPRING,Action,Adventure,Fantasy,Shounen,OLM,,,,,,,,,,,,,
,Carole & Tuesday,SPRING,Drama,Music,Sci-Fi,Seinen,bones,,,,,,,,,,,,,
,Cat's Eye,SUMMER,Action,Adventure,Comedy,Shounen,Tokyo Movie Shinsha,,,,,,,,,,,,,
,A Centaur's Life,SUMMER,Comedy,Fantasy,Slice of Life,Seinen,Haoliners Animation,,,,,,,,,,,,,
,Chainsaw Man,FALL,Action,Drama,Horror,Shounen,MAPPA,,,,,,,,,,,,,
,Charlotte,SUMMER,Comedy,Drama,Romance,Seinen,P.A.WORKS,,,,,,,,,,,,,
,Drug Store in Another World - The Slow Life of a Cheat Pharmacist,SUMMER,Comedy,Fantasy,Slice of Life,Shounen,EMT Squared,,,,,,,,,,,,,
,Chi's Sweet Home,SPRING,Comedy,Slice of Life,,Kodomo,MADHOUSE,,,,,,,,,,,,,
,Chibi Maruko-chan,SUMMER,Comedy,Slice of Life,,Shoujo,Nippon Animation,,,,,,,,,,,,,
,A Little Snow Fairy Sugar,FALL,Comedy,Fantasy,Comedy,Shoujo,J.C.STAFF,,,,,,,,,,,,,
,Chihayafuru,FALL,Drama,Romance,Slice of Life,Josei,MADHOUSE,,,,,,,,,,,,,
,Chinpui,WINTER,Comedy,Fantasy,,Kodomo,Shin-Ei Animation,,,,,,,,,,,,,
,Chio's School Road,SUMMER,Comedy,Slice of Life,,Seinen,diomedéa,,,,,,,,,,,,,
,Chitose Get You!,SUMMER,Comedy,Romance,Slice of Life,Seinen,SILVER LINK.,,,,,,,,,,,,,
,Chocotto Sister,SUMMER,Comedy,Drama,Romance,Seinen,Nomad,,,,,,,,,,,,,
,High School Prodigies Have It Easy Even In Another World,FALL,Action,Adventure,Drama,Seinen,project No.9,,,,,,,,,,,,,
,Chrono Crusade,FALL,Action,Romance,Supernatural,Shounen,GONZO,,,,,,,,,,,,,
,Chrome Shelled Regios,WINTER,Action,Adventure,Fantasy,Shounen,ZEXCS,,,,,,,,,,,,,
,Cooking Master Boy,SPRING,Action,Adventure,Drama,Shounen,Nippon Animation,,,,,,,,,,,,,
,Mr. Tonegawa: Middle Management Blues,SUMMER,Comedy,Drama,Psychological,Seinen,MADHOUSE,,,,,,,,,,,,,
,"Love, Chunibyo & Other Delusions",FALL,Comedy,Drama,Romance,Shounen,Kyoto Animation,,,,,,,,,,,,,
,Cinderella Boy,SUMMER,Action,Adventure,Comedy,Seinen,Magic Bus,,,,,,,,,,,,,
,City Hunter,SPRING,Action,Comedy,Mystery,Shounen,Sunrise,,,,,,,,,,,,,
,CLAMP School Detectives,SPRING,Action,Comedy,Mystery,Shoujo,Studio Pierrot,,,,,,,,,,,,,
,Clannad,FALL,Comedy,Drama,Romance,Seinen,Kyoto Animation,,,,,,,,,,,,,
,Claymore,SPRING,Action,Adventure,Fantasy,Shounen,MADHOUSE,,,,,,,,,,,,,
,Code Geass: Lelouch of the Rebellion,FALL,Action,Drama,Mecha,Seinen,Sunrise,,,,,,,,,,,,,
,Code:Breaker,FALL,Action,Comedy,Supernatural,Shounen,Kinema Citrus,,,,,,,,,,,,,
,Comic Girls,SPRING,Comedy,Slice of Life,School,Seinen,Nexus,,,,,,,,,,,,,
,Comic Party,SPRING,Comedy,Drama,Slice of Life,Seinen,OLM,,,,,,,,,,,,,
,Concrete Revolutio,FALL,Action,Drama,Fantasy,Seinen,bones,,,,,,,,,,,,,
,Cooking Papa,SPRING,Comedy,Slice of Life,Gourmet,Seinen,Eiken,,,,,,,,,,,,,
,"Play It Cool, Guys",FALL,Comedy,Slice of Life,,Josei,Studio Pierrot,,,,,,,,,,,,,
,Coppelion,FALL,Action,Sci-Fi,,Seinen,GoHands,,,,,,,,,,,,,
,Corrector Yui,SPRING,Adventure,Comedy,Magical Girl,Shoujo,Nippon Animation,,,,,,,,,,,,,
,Cowboy Bebop,SPRING,Action,Adventure,Drama,Seinen,Sunrise,,,,,,,,,,,,,
,Croket!,SPRING,Action,Adventure,Comedy,Kodomo,OLM,,,,,,,,,,,,,
,Cross Game,SPRING,Comedy,Drama,Romance,Shounen,SynergySP,,,,,,,,,,,,,
,Cuticle Detective Inaba,WINTER,Action,Comedy,Mystery,Shounen,ZEXCS,,,,,,,,,,,,,
,Cyborg Kuro-chan,FALL,Comedy,Sci-Fi,,Kodomo,Public & Basic,,,,,,,,,,,,,
,D-Frag!,WINTER,Comedy,School,,Seinen,Brain's Base,,,,,,,,,,,,,
,D.Gray-man,FALL,Action,Adventure,Drama,Shounen,TMS Entertainment,,,,,,,,,,,,,
,D.N.Angel,SPRING,Action,Comedy,Fantasy,Shoujo,Xebec,,,,,,,,,,,,,
,Daa! Daa! Daa!,SPRING,Comedy,Sci-Fi,,Shoujo,J.C.STAFF,,,,,,,,,,,,,
,A Good Librarian Like a Good Shepherd,FALL,Comedy,Romance,,Seinen,Hoods Entertainment,,,,,,,,,,,,,
,Dan Doh!!,SPRING,Adventure,Sports,,Shounen,Tokyo Kids,,,,,,,,,,,,,
,Dance Dance Danseur,SPRING,Drama,Romance,Slice of Life,Seinen,MAPPA,,,,,,,,,,,,,
,Danchigai,SUMMER,Comedy,Slice of Life,,Seinen,Creators in Pack,,,,,,,,,,,,,
,Danganronpa: The Animation,SUMMER,Horror,Mystery,Psychological,Seinen,Lerche,,,,,,,,,,,,,
,I Can't Understand What My Husband Is Saying,FALL,Comedy,Romance,Slice of Life,Seinen,Seven,,,,,,,,,,,,,
,The Severing Crime Edge,SPRING,Action,Fantasy,Romance,Seinen,Studio Gokumi,,,,,,,,,,,,,
,Daily Lives of High School Boys,WINTER,Comedy,Slice of Life,School,Shounen,Sunrise,,,,,,,,,,,,,
,The Mystic Archives of Dantalian,SUMMER,Action,Mystery,Supernatural,Seinen,Gainax,,,,,,,,,,,,,
,Darker than Black,SPRING,Action,Mystery,Sci-Fi,Seinen,bones,,,,,,,,,,,,,
,DARLING in the FRANXX,WINTER,Action,Drama,Mecha,Seinen,TRIGGER,,,,,,,,,,,,,
,Darwin's Game,WINTER,Action,Mystery,Sci-Fi,Shounen,Nexus,,,,,,,,,,,,,
,Dead Mount Death Play,SPRING,Action,Fantasy,Supernatural,Seinen,GEEKTOYS,,,,,,,,,,,,,
,Deadman Wonderland,SPRING,Action,Drama,Sci-Fi,Shounen,Manglobe,,,,,,,,,,,,,
,Deaimon: Recipe for Happiness,SPRING,Slice of Life,,,Seinen,Encourage Films,,,,,,,,,,,,,
,Hoop Days,SPRING,Drama,Sports,,Shounen,A.C.G.T.,,,,,,,,,,,,,
,Death March to the Parallel World Rhapsody,WINTER,Action,Adventure,Comedy,Shounen,SILVER LINK.,,,,,,,,,,,,,
,Death Note,FALL,Mystery,Psychological,Supernatural,Shounen,MADHOUSE,,,,,,,,,,,,,
,Battle Game in 5 Seconds,SUMMER,Action,Drama,Supernatural,Seinen,Vega Entertainment,,,,,,,,,,,,,
,The Masterful Cat is Depressed Again Today,SUMMER,Comedy,Fantasy,Slice of Life,Shounen,GoHands,,,,,,,,,,,,,
,Deltora Quest,WINTER,Adventure,Fantasy,,Shounen,OLM,,,,,,,,,,,,,
,Interviews with Monster Girls,WINTER,Slice of Life,Supernatural,,Seinen,A-1 Pictures,,,,,,,,,,,,,
,DENKI-GAI,FALL,Comedy,Slice of Life,,Seinen,Shin-Ei Animation,,,,,,,,,,,,,
,Den-noh Coil,SPRING,Adventure,Comedy,Drama,Seinen,MADHOUSE,,,,,,,,,,,,,
,Ultimate Otaku Teacher,SPRING,Comedy,Romance,School,Shounen,A-1 Pictures,,,,,,,,,,,,,
,Ground Control to Psychoelectric Girl,SPRING,Comedy,Slice of Life,Slice of Life,Seinen,Shaft,,,,,,,,,,,,,
,The Legend of the Legendary Heroes,SUMMER,Action,Adventure,Fantasy,Shounen,ZEXCS,,,,,,,,,,,,,
,Case Closed,WINTER,Adventure,Comedy,Mystery,Shounen,TMS Entertainment,,,,,,,,,,,,,
,Devil May Cry,SUMMER,Action,Fantasy,Demons,Seinen,MADHOUSE,,,,,,,,,,,,,
,Devilman,SUMMER,Action,Fantasy,Horror,Shounen,Toei Animation,,,,,,,,,,,,,
,Devils' Line,SPRING,Action,Drama,Horror,Seinen,Platinum Vision,,,,,,,,,,,,,
,Ace of the Diamond,FALL,Sports,School,,Shounen,Production I.G,,,,,,,,,,,,,
,Digimon: Digital Monsters,SPRING,Action,Adventure,Comedy,Shounen,Toei Animation,,,,,,,,,,,,,
,Digimon Frontier,SPRING,Action,Adventure,Drama,Shounen,Toei Animation,,,,,,,,,,,,,
,Digimon Tamers,SPRING,Action,Adventure,Drama,Shounen,Toei Animation,,,,,,,,,,,,,
,Digimon Fusion,SUMMER,Action,Adventure,Comedy,Shounen,Toei Animation,,,,,,,,,,,,,
,Dimension W,WINTER,Action,Sci-Fi,,Seinen,Studio 3Hz,,,,,,,,,,,,,
,Dog Days,SPRING,Action,Adventure,Fantasy,Seinen,Seven Arcs,,,,,,,,,,,,,
,Dokaben,FALL,Action,Sports,,Shounen,Nippon Animation,,,,,,,,,,,,,
,Laughing Under the Clouds,FALL,Action,Historical,Fantasy,Shoujo,Doga Kobo,,,,,,,,,,,,,
,Doraemon,SPRING,Adventure,Comedy,Fantasy,Kodomo,Shin-Ei Animation,,,,,,,,,,,,,
,Dorohedoro,WINTER,Action,Adventure,Comedy,Seinen,MAPPA,,,,,,,,,,,,,
,Dororo,WINTER,Action,Adventure,Drama,Shounen,MAPPA,,,,,,,,,,,,,
,Dojin Work,SUMMER,Comedy,Slice of Life,,Seinen,Remic,,,,,,,,,,,,,
,My Roommate is a Cat,WINTER,Comedy,Slice of Life,,Shoujo,Zero-G,,,,,,,,,,,,,
,Dr. Rin ni Kiitemite!,SPRING,Comedy,Fantasy,Romance,Shoujo,Studio Comet,,,,,,,,,,,,,
,Dr. Slump,FALL,Comedy,Slice of Life,,Shounen,Toei Animation,,,,,,,,,,,,,
,Dr. STONE,SUMMER,Action,Adventure,Comedy,Shounen,TMS Entertainment,,,,,,,,,,,,,
,Dragon Ball,WINTER,Action,Adventure,Comedy,Shounen,Toei Animation,,,,,,,,,,,,,
,Dragon Ball Super,SUMMER,Action,Adventure,Comedy,Shounen,Toei Animation,,,,,,,,,,,,,
,Dragon Crisis,WINTER,Action,Romance,Supernatural,Shounen,Studio DEEN,,,,,,,,,,,,,
,Dragon Drive,SUMMER,Action,Adventure,Comedy,Shounen,MADHOUSE,,,,,,,,,,,,,
,Dragon Goes House-Hunting,SPRING,Comedy,Fantasy,Comedy,Shounen,Signal.MD,,,,,,,,,,,,,
,Dragonaut -THE RESONANCE-,FALL,Action,Drama,Fantasy,Seinen,GONZO,,,,,,,,,,,,,
,DRAMAtical Murder,SUMMER,Action,Drama,Mystery,Seinen,NAZ,,,,,,,,,,,,,
,DRIFTERS,FALL,Action,Adventure,Comedy,Seinen,Hoods Entertainment,,,,,,,,,,,,,
,Is It Wrong to Try to Pick Up Girls in a Dungeon?,SPRING,Action,Adventure,Comedy,Seinen,J.C.STAFF,,,,,,,,,,,,,
,Eat-Man,WINTER,Action,Adventure,Sci-Fi,Shounen,Studio DEEN,,,,,,,,,,,,,
