Name,Max Players,Play Time,Min Age,Rating Average,Complexity Average,Mechanics,no. of mechanics
7 Deadly Sins,21,60,18,4,18735,Area Majority / Influence,9
7 Dice Wonders,4,20,7,6,13094,Area Movement,5
7 Islands,4,50,10,6,11609,Hidden Movement,6
7 Kingdoms,4,20,10,6,10677,Card Drafting,4
7 Ronin,2,30,14,6,2585,Area Majority / Influence,7
7 Safari,6,20,8,5,18389,Deck Bag and Pool Building,3
7 Souls,6,40,8,7,9156,Grid Movement,3
7 Steps,4,30,10,6,6611, Dice Rolling,4
7 Wonders,7,30,10,7,61,Tile Placement,2
7 Wonders Duel,2,30,10,8,17,Roll / Spin and Move,1
7-Card Slugfest,8,30,0,5,11772,Action Points,6
75 Gnom' Street,4,30,14,5,14759,Area Movement,5
7th Fleet: Modern Naval Combat in the Far East,2,120,12,7,3552, Player Elimination,2
7th Guest: The Board Game,6,90,12,3,19707,Roll / Spin and Move,2
7TV,4,240,13,7,10769,Dice Rolling,1
8 1/2,6,10,8,4,18866,Campaign / Battle Card Driven,3
8 Bit Attack,5,90,10,6,11953,Grid Movement,5
8 Masters' Revenge,4,45,13,6,7023,Paper-and-Pencil,1
8 the Liar,8,15,8,4,18137,Hand Management,4
8-28,6,30,8,5,18201,Communication Limits,5
8-Bit Invaders,1,30,0,6,12294,Area Majority / Influence,4
800 Heroes: Defense of Sihang Warehouse,2,30,10,6,10034,Dice Rolling,5
878 Vikings: Invasions of England,4,120,12,7,694, Dice Rolling,3
88: A Tactical Game of Armored Combat on the North African Front,10,60,12,7,6761,Dice Rolling,4
8Bit Box,6,40,6,6,5739,Action Points,2
8th Army,2,180,12,6,10236,Map Deformation,4
90 Grad,2,15,10,6,10595,Grid Movement,3
90°,2,30,0,7,18539,Action/Event,5
9tka,4,10,7,7,10397,Area Majority / Influence,7
A Blood-Red Banner: The Alamo,2,15,10,6,9473,Hand Management,4
A Bridge Too Far: Arnhem,2,90,12,7,4749,Card Drafting,6
A Bridge Too Far: Operation Market Garden,5,90,12,7,9691,Area Majority / Influence,3
A Brief History of the World,6,180,10,6,2339,Dice Rolling,3
A Call to Arms: Babylon 5 Space Combat,8,120,12,6,7356,Cooperative Game,5
A Castle for All Seasons,4,60,10,6,1438,Betting and Bluffing,3
A Chaotic Life!,4,30,10,3,20256,Cooperative Game,7
A Column of Fire,4,90,12,6,3531,Dice Rolling,4
A Conclave of Wyrms,6,60,10,5,18107,Set Collection,2
A Dash of Peiper,2,30,10,5,15443,Dice Rolling,6
A Distant Plain,4,300,12,7,869,Abstract Games,1
A Dog's Life,6,90,8,5,16814,Simulation,2
A Duel Betwixt Us,2,45,10,5,19160,Auction/Bidding,3
A Fake Artist Goes to New York,10,20,8,7,656, Hand Management,2
A Fatal Attraction: The Gallipoli Campaign,2,360,12,6,11403,Roll / Spin and Move,2
A Fearful Slaughter: The Battle of Shiloh,2,300,12,7,6058, Role Playing,3
A Feast for Odin,4,120,12,8,21,Memory,2
